underlying,underlying_price,put_call,option_symbol,root,expiry,dte_key,days_to_expiration,strike,bid,ask,mid,last,mark,volume,open_interest,iv,delta,gamma,theta,vega,rho,intrinsic_value,extrinsic_value,in_the_money,expiration_type,exercise_type,interest_rate_chain,base_chain_iv
AAPL,276.97,CALL,AAPL  251128C00265000,AAPL,2025-11-28,3,3,265.0,11.6,12.4,12.0,12.35,12.0,2307,4590,26.985,0.968,0.011,-0.073,0.018,0.02,11.97,0.38,True,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251128C00267500,AAPL,2025-11-28,3,3,267.5,9.5,9.95,9.725,10.35,9.73,352,2163,24.09,0.949,0.018,-0.099,0.026,0.02,9.47,0.88,True,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251128C00270000,AAPL,2025-11-28,3,3,270.0,7.2,7.5,7.35,7.31,7.35,3898,10897,21.656,0.909,0.031,-0.146,0.041,0.02,6.97,0.34,True,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251128C00272500,AAPL,2025-11-28,3,3,272.5,4.95,5.15,5.050000000000001,5.05,5.05,2378,8872,19.776,0.825,0.053,-0.225,0.064,0.018,4.47,0.58,True,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251128C00275000,AAPL,2025-11-28,3,3,275.0,3.05,3.15,3.0999999999999996,3.07,3.1,11643,22492,18.398,0.673,0.079,-0.311,0.089,0.015,1.97,1.1,True,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251128C00277500,AAPL,2025-11-28,3,3,277.5,1.52,1.57,1.545,1.55,1.55,26777,30508,18.05,0.459,0.089,-0.339,0.098,0.01,-0.53,2.08,False,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251128C00280000,AAPL,2025-11-28,3,3,280.0,0.6,0.64,0.62,0.63,0.62,115481,55097,17.316,0.246,0.073,-0.243,0.078,0.005,-3.03,3.66,False,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251128C00282500,AAPL,2025-11-28,3,3,282.5,0.21,0.22,0.215,0.22,0.22,112624,13609,17.435,0.105,0.042,-0.125,0.045,0.002,-5.53,5.75,False,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251128C00285000,AAPL,2025-11-28,3,3,285.0,0.07,0.08,0.07500000000000001,0.08,0.08,49883,17333,18.269,0.041,0.02,-0.055,0.022,0.001,-8.03,8.11,False,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251128C00287500,AAPL,2025-11-28,3,3,287.5,0.03,0.04,0.035,0.04,0.04,23802,7655,20.051,0.019,0.009,-0.028,0.012,0.0,-10.53,10.57,False,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251205C00265000,AAPL,2025-12-05,10,10,265.0,12.9,13.75,13.325,13.1,13.33,203,1007,23.787,0.877,0.019,-0.122,0.093,0.063,11.97,1.13,True,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251205C00267500,AAPL,2025-12-05,10,10,267.5,10.65,11.35,11.0,10.76,11.0,175,766,22.736,0.832,0.024,-0.143,0.115,0.06,9.47,1.29,True,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251205C00270000,AAPL,2025-12-05,10,10,270.0,8.55,8.8,8.675,8.75,8.68,671,4146,21.748,0.771,0.031,-0.163,0.138,0.056,6.97,1.78,True,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251205C00272500,AAPL,2025-12-05,10,10,272.5,6.7,6.85,6.775,7.2,6.78,1210,2362,20.933,0.693,0.037,-0.182,0.161,0.05,4.47,2.73,True,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251205C00275000,AAPL,2025-12-05,10,10,275.0,5.0,5.15,5.075,5.05,5.08,3250,6674,20.151,0.597,0.042,-0.192,0.177,0.044,1.97,3.08,True,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251205C00277500,AAPL,2025-12-05,10,10,277.5,3.55,3.65,3.5999999999999996,3.56,3.6,3038,2163,20.836,0.49,0.042,-0.203,0.182,0.036,-0.53,4.09,False,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251205C00280000,AAPL,2025-12-05,10,10,280.0,2.37,2.42,2.395,2.39,2.4,21186,15069,20.015,0.382,0.042,-0.185,0.174,0.028,-3.03,5.42,False,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251205C00282500,AAPL,2025-12-05,10,10,282.5,1.48,1.52,1.5,1.5,1.5,10954,3076,19.408,0.278,0.038,-0.156,0.153,0.021,-5.53,7.03,False,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251205C00285000,AAPL,2025-12-05,10,10,285.0,0.87,0.89,0.88,0.89,0.88,7018,11063,18.948,0.188,0.031,-0.12,0.123,0.014,-8.03,8.92,False,W,A,3.732,29.0
AAPL,276.97,CALL,AAPL  251205C00287500,AAPL,2025-12-05,10,10,287.5,0.49,0.5,0.495,0.49,0.5,7991,1531,18.737,0.119,0.023,-0.086,0.091,0.009,-10.53,11.02,False,W,A,3.732,29.0
